Precio en dolares,Recamaras,Area total
164384,7,110
123288,4,110
77210,4,110
103362,3,110
161893,3,110
119047,3,110
186800,4,110
154421,3,110
97507,2,110
174346,5,110
112080,3,110
209640,3,110
156277,3,110
211706,3,110
112080,3,110
68493,2,110
93400,4,110
186149,3,110
80946,3,110
230386,4,110
89664,6,110
94848,3,110
85584,2,110
112443,6,110
323786,4,110
80946,3,110
84682,1,110
169352,4,110
186800,5,110
122415,3,110
103362,3,110
168120,7,110
136986,3,110
161773,4,110
137396,3,110
168120,5,110
286316,3,110
118306,3,110
120797,3,110
154238,5,110
156277,3,110
87173,3,110
271202,4,110
87173,3,110
174346,5,110
174346,3,110
172853,3,110
84210,3,110
101939,4,110
110834,3,110
93961,3,110
205208,3,110
77210,3,110
84682,3,110
236613,4,110
113241,2,110
273973,3,110
77210,3,110
310249,3,110
89664,2,110
183933,3,110
137396,3,110
83437,4,110
97136,2,110
186800,4,110
136986,3,110
115816,3,110
148476,3,110
56040,2,110
193026,4,110
124533,3,110
122042,3,110
144709,3,110
174346,5,110
340476,3,110
193026,4,110
127024,3,110
147257,3,110
83437,4,110
124533,4,110
105853,2,110
109589,3,110
149440,3,110
122042,3,110
98381,3,110
109589,4,110
93400,2,110
94645,3,110
93400,2,110
261052,3,111
250859,4,111
193026,3,111
115816,2,111
173101,3,111
173101,3,111
68493,4,111
173101,5,112
95890,4,112
173101,5,112
123213,3,112
199446,3,112
155666,3,112
273973,8,112
95890,4,112
101186,2,112
154681,3,112
308166,3,112
99626,3,112
68698,2,112
199446,3,112
248199,3,112
273973,8,112
173973,4,112
84682,4,112
130760,3,112
170282,3,112
124533,4,112
155666,3,112
98381,3,112
129514,3,112
168120,3,112
168120,3,113
167180,3,113
421052,3,113
149440,3,113
536288,3,113
137396,3,113
105853,5,113
143213,3,113
190535,3,113
99989,4,113
155666,5,113
259723,3,113
224159,3,114
82192,3,114
219390,4,114
86515,3,114
136986,3,114
138504,3,114
476454,4,114
180573,3,114
99626,3,114
155666,3,114
153001,4,114
110834,4,114
182249,3,114
155666,3,114
80324,5,115
183136,4,115
125695,4,115
554016,3,115
92777,3,115
149440,3,115
124533,2,115
224159,3,115
193026,4,115
201662,4,115
204764,3,115
117451,3,115
243767,4,115
68493,3,115
129994,3,115
89664,2,115
225994,5,115
199446,3,115
112080,3,115
159402,3,115
150338,4,115
112080,3,115
212742,3,116
99626,5,116
157341,3,116
137396,3,116
168120,4,116
193026,3,116
166781,3,116
83324,3,116
211235,3,116
186800,3,116
230386,3,116
149806,3,116
143213,3,116
193026,3,116
92154,2,116
174346,3,117
62267,4,117
217933,4,117
136986,4,117
149629,4,117
180573,5,117
166205,4,117
281440,3,117
105853,3,117
136986,3,117
181717,2,117
167534,3,118
189252,5,118
99501,2,118
171523,3,118
78456,3,118
80946,3,118
80946,3,118
69738,5,118
118306,3,118
174346,3,118
190582,5,118
372299,3,118
149440,3,118
171523,3,118
78456,3,118
171523,3,118
331967,4,119
387811,3,119
90859,3,119
117983,3,119
177833,4,119
149440,5,119
303822,3,119
143213,3,119
130760,2,120
174346,5,120
143213,3,120
136862,3,120
234903,3,120
246575,7,120
149440,3,120
176842,5,120
65152,2,120
112080,3,120
168120,3,120
166648,3,120
148299,4,120
190582,3,120
118306,3,120
168120,3,120
112080,3,120
165762,3,120
155125,2,120
265928,4,120
84682,3,120
115816,3,120
199446,3,120
141163,3,120
72229,4,120
182939,4,120
112080,2,120
186800,3,120
111955,4,120
68493,5,120
165504,3,120
206094,3,120
118306,3,120
118306,4,120
199253,5,120
149440,3,120
115235,3,120
180448,4,120
163989,3,120
193014,3,120
272886,6,120
112080,4,120
217174,4,120
186800,5,120
186800,5,120
117061,3,120
311333,4,120
224159,4,120
146260,3,120
132005,3,120
211706,5,120
118306,3,120
118306,2,120
138979,4,120
99626,3,120
310205,4,120
203878,4,120
105853,2,120
132503,3,120
124533,3,120
180573,4,120
169751,2,120
186149,3,120
155666,3,120
158157,4,120
180573,3,120
103362,3,120
265485,3,120
265485,3,120
232687,3,120
146260,2,120
158157,3,120
108344,2,120
136986,3,120
161893,3,120
103091,2,120
161893,2,120
234903,4,120
105853,3,120
174346,3,120
105853,3,120
99626,3,120
80946,2,120
186800,3,120
180573,3,120
103362,3,120
93400,3,120
186800,3,120
93400,4,120
180573,4,120
188366,4,120
155125,3,120
124533,2,120
74720,3,120
155125,3,120
195517,3,120
190582,5,120
155044,2,120
199253,3,120
172853,3,120
107656,4,120
217174,3,120
136986,3,120
104608,4,120
141828,3,120
160648,3,120
134072,3,120
83437,3,120
166737,4,120
344376,4,120
161644,3,120
195457,3,120
93400,3,120
175069,4,120
136986,3,120
118306,4,120
159402,3,120
206005,3,120
136986,2,120
149440,3,120
87173,2,120
189695,3,120
260831,3,120
161893,5,120
87173,1,120
159402,6,120
281883,5,120
136986,3,120
105853,3,120
133250,5,120
124533,2,120
105853,3,120
106371,3,120
118306,4,120
168120,3,120
68493,3,120
105853,4,120
208310,3,120
199253,5,120
129197,2,120
159402,3,120
99626,3,120
137396,3,120
238670,4,120
115235,5,120
98381,5,120
163989,3,120
174346,3,120
136986,3,120
261496,3,120
168120,3,120
154421,3,120
186800,3,120
161893,4,120
105853,5,120
155666,3,120
112080,3,120
108344,3,120
211706,5,120
87173,3,120
190535,3,120
105853,3,120
149440,3,120
161893,5,120
187036,4,120
180573,4,120
153051,2,120
193026,3,120
108344,2,120
157341,3,120
161893,4,120
193026,3,120
376731,3,121
115816,3,121
176842,3,121
105853,2,121
112080,3,121
125872,2,121
168120,3,121
168120,3,121
171856,3,121
171856,3,121
180831,3,121
172853,3,121
376731,3,121
158670,4,121
168421,4,121
132077,3,121
119667,5,121
172410,3,121
186149,4,121
132077,3,121
119667,5,121
155666,4,121
478227,3,122
105853,3,122
159557,4,122
117061,2,122
173101,5,122
128089,4,122
177285,4,122
165629,3,122
149440,3,122
154421,3,122
177285,4,122
84682,3,122
161893,3,122
138061,3,122
143213,3,122
168421,3,122
146949,3,122
224159,3,122
102117,4,123
438781,2,123
105853,3,123
212443,4,123
143213,3,123
317340,3,123
177285,4,123
105853,3,123
101939,3,123
198338,3,123
242839,5,123
140233,2,123
146949,3,123
118306,3,123
178082,3,123
87173,2,123
180573,4,123
180448,3,123
168120,4,124
220299,4,124
442770,2,124
102117,2,124
174346,6,124
189290,3,124
195811,4,124
189290,3,124
164384,3,124
102117,2,124
215845,6,124
123275,4,124
113325,3,124
173101,4,124
314681,5,124
168120,4,124
136986,6,124
133238,4,124
622665,6,125
136986,3,125
421052,4,125
99626,3,125
177241,3,125
93400,3,125
130760,3,125
79701,2,125
261052,4,125
221163,5,125
183933,4,125
106726,3,125
157341,3,125
108344,2,125
190582,4,125
111457,2,125
63512,3,125
110803,4,125
136199,3,125
190535,3,125
144458,4,125
144044,3,125
106371,3,125
119552,4,125
115816,3,125
155666,4,126
143213,3,126
257064,4,126
136986,4,126
161773,2,126
140144,3,126
509252,4,126
137396,3,126
84682,2,126
155666,3,126
265485,3,126
102117,3,126
118306,3,126
84682,2,126
110803,2,126
132609,3,126
84682,3,126
149440,3,126
482659,3,127
174346,3,127
155666,5,127
105853,4,127
90909,4,127
120797,2,127
119667,3,127
199446,3,127
130760,3,127
123288,2,128
310249,6,128
149440,6,128
211706,3,128
249066,3,128
186800,5,128
135741,2,128
250415,3,128
113463,4,128
118306,3,128
201662,3,128
136986,4,128
99626,4,128
199446,3,128
199446,3,128
123288,2,128
176842,3,128
118781,4,128
181717,3,128
155125,2,128
62267,2,128
149440,3,128
154681,5,128
113463,4,128
149440,4,128
124533,6,128
118306,3,128
80946,3,128
421052,5,128
143213,2,128
176842,4,128
118306,3,128
130760,4,128
168120,4,128
135180,2,128
211706,4,128
143213,3,128
136986,3,128
744598,3,128
186800,4,128
181717,3,128
186800,3,128
108344,4,128
186800,5,128
145704,4,128
118306,3,128
130760,2,128
174346,4,128
136986,4,128
83437,4,128
119224,2,128
165318,4,128
146260,4,128
161893,3,128
176837,4,128
332410,3,128
143213,3,128
236144,3,128
77210,2,128
139477,3,128
130760,2,128
118306,3,128
129514,4,128
744598,3,128
4,5,128
208310,4,128
155666,5,128
161644,4,129
152927,4,129
199756,5,129
212521,4,129
341274,3,129
753462,4,129
159557,3,129
117451,2,129
243767,3,129
136986,5,129
114570,3,129
161893,3,129
88643,3,129
190582,3,130
325762,3,130
237119,4,130
217933,4,130
151930,5,130
265928,3,130
265928,3,130
118306,4,130
198007,3,130
181717,3,130
193026,7,130
112080,3,130
93400,4,130
141843,4,130
208310,4,130
105853,7,130
106593,4,130
174346,3,130
176842,4,130
123288,3,130
168120,3,130
171856,3,130
165006,4,130
124533,4,130
190582,3,130
178172,2,130
228255,5,130
128532,4,130
193026,5,130
109589,3,130
485679,3,130
143213,3,130
136986,4,130
114570,4,130
143213,3,130
268144,3,130
165629,3,130
208310,4,130
224035,4,130
283213,4,130
224159,3,130
121440,2,130
124533,3,130
122042,3,130
200687,5,130
118306,3,130
265928,3,130
183933,5,130
105853,2,130
163546,4,130
59776,2,130
207846,4,130
283213,4,130
168120,4,130
118306,3,130
186800,3,130
197230,3,130
149440,3,130
230386,7,130
261519,4,130
161893,4,130
113948,3,130
118306,3,130
115816,3,130
111690,4,130
186149,4,130
136986,3,130
101939,3,130
159402,4,130
159278,4,130
211706,4,130
239113,4,130
107098,3,130
162598,5,130
110834,4,130
190582,4,130
94645,4,130
173518,3,130
149440,6,130
175956,3,130
124533,3,130
132964,2,130
105853,4,130
161893,3,130
124533,2,130
117061,2,131
159402,4,131
176310,3,131
133250,2,131
130760,3,131
148476,3,131
168421,4,131
148476,3,131
115235,4,131
155125,3,131
127424,4,131
155666,5,131
173848,3,131
105853,2,132
172853,4,132
124533,4,132
143213,3,132
98381,2,132
193026,3,132
332410,3,132
224159,5,132
124100,4,132
205479,3,132
193026,3,132
