Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
60000000,1686,74720,SanBernardo,PadreHurtadoconSanJose,4,1,57,63,,8672523,Unne
35000000,983,43587,PuenteAlto,Casa2PisosenP.Alto,3,1,71,63,,6169591,Corretajes Prosal
65000000,1826,80946,SanBernardo,Villaanguita,4,2,43,63,,10364076,Movahome Corredores Integrados
133000000,3737,165629,Renca,NuevaRenca,3,3,63,63,,10089914,Urbalia
65000000,1826,80946,SanBernardo,SanBernardo,4,2,43,63,1,10366056,Agente Propiedades
55164500,1550,68698,PuenteAlto,Oportunidadparavivirencasapropia!!puentealto,4,1,78,63,,11536878,Nexxos
55000000,1545,68493,PuenteAlto,Vendocasaenpuentealto,4,1,55,63,1,10206137,Movahome Corredores Integrados
53000000,1489,66002,PuenteAlto,Creta/Mahuidanche,3,1,50,63,,10746968,Propiedades Centro Santiago SPA
61500000,1728,76588,Quilicura,LosVeddas,2,1,47,63,1,10141302,
56900000,1599,70859,Pudahuel,AlfaCentauro8601,2,1,36,64,1,11483866,Recio Gestión Inmobiliaria Ltda
63706100,1790,79335,LaFlorida,Santaraquel-jaspe-urbanovicasa3d1b,3,1,66,64,,11326131,Grupo Premium Propiedades Santiago
105000000,2950,130760,LaReina,Piuchen450,3,2,70,64,,11642810,RUKAM SPA
48000000,1349,59776,PuenteAlto,Marrón,2,1,38,64,,11399781,Legales y Propiedades SpA
185000000,5198,230386,PuenteAlto,ParqueSanFrancisco,4,2,64,64,,11524649,Urbalia
105000000,2950,130760,LaReina,ValenzuelaLLanos/Caliboro,3,1,70,64,1,11496662,Unne
64000000,1798,79701,Pudahuel,LosMares/LaEstrella,4,2,36,64,,9884309,Procasa Adrián Ulloa Propiedades
81857000,2300,101939,PadreHurtado,pasajenarciso1809,3,2,53,65,1,10851413,
78298000,2200,97507,LaGranja,VillaPabloNeruda,3,1,120,65,,12312234,Viel Propiedades dos Ltda.
85000000,2388,105853,PuenteAlto,Paranal1968,3,1,58,65,1,7945562,Inmobiliaria Barrio Nuevo SpA
64000000,1798,79701,Talagante,RamonBarrosLuco103,4,1,65,65,1,11967583,Corredores Asociados - OpenBrokers
89686800,2520,111690,LaFlorida,AvenidaLaFlorida7090,3,1,65,65,1,11929789,Zahause.cl
55000000,1545,68493,PadreHurtado,Casa2PisosenPadreHurtado,3,2,65,65,,9618754,Corretajes Prosal
177594100,4990,221163,LaCisterna,LosClaveles,3,1,209,65,2,11293752,Tradehouse
50000000,1405,62267,ElBosque,sanclemente,3,1,90,65,1,11557044,Mi Llave
89686800,2520,111690,LaFlorida,AvenidaLaFlorida7090,3,1,65,65,1,9087100,Zahause.cl
70900000,1992,88294,Maipú,SoldeMaipu,3,1,65,65,,11541626,Easyprop
60503000,1700,75346,EstaciónCentral,Colibrí,2,1,65,65,,11408687,Houm
68000000,1911,84682,Pudahuel,Casa2PisosenConjuntoJuanGuzmán,2,1,55,65,,11376361,Corretajes Prosal
73884840,2076,92011,Quilicura,SanIgnacio2,2,1,58,65,1,8202636,
91644250,2575,114127,SanBernardo,BarrosArana,2,1,65,65,,7229116,Propiedades Abarca
70000000,1967,87173,Quilicura,Ríollico,2,1,58,65,1,7709479,Margarita Leiva Catalan
